Date,Open_RELIANCE,High_RELIANCE,Low_RELIANCE,Close_RELIANCE,Adj Close_RELIANCE,Volume_RELIANCE,Open_TCS,High_TCS,Low_TCS,Close_TCS,Adj Close_TCS,Volume_TCS,Open_INFY,High_INFY,Low_INFY,Close_INFY,Adj Close_INFY,Volume_INFY
2025-02-10,1264.5,1266.5,1245.550048828125,1253.6500244140625,1253.6500244140625,6970972,4040.0,4052.0,4014.35009765625,4036.949951171875,3987.850830078125,1339511,1905.0,1905.0,1878.5999755859375,1880.300048828125,1854.2110595703125,3828734
2025-02-11,1264.550048828125,1264.550048828125,1230.0999755859375,1234.8499755859375,1234.8499755859375,8859714,4018.39990234375,4040.0,3955.0,3963.550048828125,3915.343505859375,1810908,1883.0999755859375,1903.0,1870.0,1875.6500244140625,1849.6256103515625,4411601
2025-02-12,1219.449951171875,1226.9000244140625,1193.3499755859375,1216.550048828125,1216.550048828125,21131654,3971.10009765625,4021.75,3940.14990234375,3950.14990234375,3902.1064453125,1678002,1885.0,1894.5999755859375,1847.0,1863.1500244140625,1837.299072265625,5633947
2025-02-13,1217.050048828125,1228.0,1212.0,1216.0999755859375,1216.0999755859375,8511216,3968.0,3984.449951171875,3902.25,3910.14990234375,3862.593017578125,2277310,1868.5,1873.5,1835.6500244140625,1843.25,1817.6751708984375,5237744
2025-02-14,1219.0,1224.0,1205.449951171875,1217.25,1217.25,10298145,3925.0,3948.0,3900.0,3934.85009765625,3886.992431640625,1681975,1854.0,1859.300048828125,1828.3499755859375,1856.4000244140625,1830.6427001953125,5292961
2025-02-17,1211.0999755859375,1227.5,1204.5,1224.9000244140625,1224.9000244140625,8166683,3856.5,3934.0,3856.199951171875,3904.5,3857.01171875,1799806,1838.550048828125,1852.75,1822.1500244140625,1842.300048828125,1816.73828125,4428956
2025-02-18,1224.8499755859375,1229.9000244140625,1216.0999755859375,1225.4000244140625,1225.4000244140625,6673250,3898.39990234375,3924.39990234375,3864.5,3873.199951171875,3826.092529296875,2149879,1842.300048828125,1861.6500244140625,1837.5999755859375,1851.949951171875,1826.25439453125,4365260
2025-02-19,1219.5,1232.75,1217.550048828125,1227.449951171875,1227.449951171875,6217338,3872.199951171875,3874.949951171875,3768.14990234375,3784.10009765625,3738.076171875,4366672,1847.4000244140625,1849.199951171875,1805.9000244140625,1810.800048828125,1785.6754150390625,4611411
2025-02-20,1223.949951171875,1239.3499755859375,1222.0,1233.0,1233.0,7795582,3761.5,3788.0,3751.300048828125,3779.39990234375,3733.43310546875,2888572,1805.550048828125,1831.0,1805.550048828125,1825.1500244140625,1799.8262939453125,2218020
2025-02-21,1228.699951171875,1240.0,1222.1500244140625,1228.1500244140625,1228.1500244140625,6904025,3776.10009765625,3817.0,3775.0,3786.0,3739.953125,1833931,1821.800048828125,1829.8499755859375,1806.199951171875,1815.0,1789.8170166015625,3379879
